Name,Age,Gender,Spending_Travel,Spending_Food,Savings
Vihaan,56,Male,1526,5137,30566
Myra,31,Male,7923,7500,11438
Sai,38,Male,1624,13619,32815
Myra,29,Female,6479,5057,20639
Myra,28,Female,2005,4532,37363
Navya,41,Female,4646,11952,11975
Rohan,29,Male,5364,4936,9371
Ira,60,Female,1463,11595,48933
Kabir,34,Male,4506,5749,23179
Ananya,31,Male,4186,3375,17748
Aarav,48,Female,4578,6970,11830
Saanvi,39,Male,6685,9922,9646
Meera,53,Female,8600,11068,43021
Aditya,54,Male,9374,8330,37834
Sara,22,Female,4788,8829,20702
Diya,21,Male,9690,6299,46520
Saanvi,19,Male,8880,10269,20404
Aarav,28,Female,3332,3248,27668
Shruti,22,Female,5168,5544,35372
Saanvi,35,Male,8428,10125,30892
